,1231537,,HR 22: 621.9 KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: M ; Reading level: 22 ; DRA level: 26. Word count: 483.,,"Huntington Beach, CA",[2018],2018,,written by Anna Kirschberg.,,3D printing,,,,,Monograph,text,,,,,"Kirschberg, Anna",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 4, Non-fiction; 3Fantails book banded readers; 3","Levelled readers3D printing",,,
"Summary: 3D printing is a fascinating and divisive subject. Many people believe it is destined to make our lives easier, while some believe it could be misused with terrible consequences.",1231625,,621.9 BRA,20 pages : colour illustrations.,,,,,,9.78174E+12,,,,,"Fitzroy, VIC",2019,2019,,Woody Brambles.,,3D printing : the future is now,,,,,Monograph,text,,,,https://www.scool.scholastic.com.au/standingorders/Jadehttp.dll?StandingOrders=&_session=969d8f3a33546c4c&H05=5&prdCode=8627799,"Brambles, Woody",,Wild Dog Books,,3D printing,,,Three D printing : the future is now
"Summary: When thirteen-year-old Max Tilt stumbled across his great-great-great-grandfather Jules Verne's unfinished, unpublished manuscript, The Lost Treasures, he thought he had the answer to all his problems, but nothing in life is ever that easy. With his mom's illness getting worse again, Max needs to figure out a way to save his family--now more than ever. So Max and his cousin Alex revisit The Lost Treasures, and they find a clue that just might be the key to a cure. It's the story of Verne's seemingly impossible recovery from a near-fatal gunshot wound. Somehow, after being shot, Verne didn't just survive, he thrived. And the book hints that he was only able to do so after collecting magical healing elements that he'd saved from a race around the world. Piecing together hints from Verne's Around the World in 80 Days and his lost manuscript, Max and Alex realize there's a way to save Max's mom if they're daring enough to try.",1211115,,PF LER,"392, 13 pages.",,,First paperback edition.,,,9.78006E+12,,,,,"New York, NY",2019,2019,,Peter Lerangis.,,80 days or die,,,,,Monograph,text,,,,,"Lerangis, Peter",,Harper,Max Tilt; 2,"Verne, Jules - FictionManuscripts - FictionFamily relations - FictionMagic - FictionVoyages and travels - FictionCodes and ciphers - FictionSick persons - FictionBooksManuscript formatFamily relationshipSorceryQuestsCiphersDiseasesFiction",,,Eighty days or die
,1231872,,TR AV KIT: NIC,2 books + 1 CD,,,,,,,,,"Contains Luurnpa, the magical kingfisher and The cocky, the crow and the hawk",,,2013,2013,,Belonging to Matingali Napanangka Mudgedell ,,Aboriginal Dreaming Narratives,,,,,Monograph,text,,,,,,,Working Title Press,,,,,
"Summary: In a free society such as Australia, the right to peaceful protest is a long-practised feature of our democracy. The nightly news frequently broadcasts images of activists rallying for social change on diverse issues ranging from animal rights to coal mines, gay marriage, religious freedom and alt-right anti-immigration views. Social change movements are increasingly championed online through social media and e-petitions as well as on the streets, placing pressure on politicians and raising the public profile of a range of causes. Anti-protest laws, expanded police powers, and political disapproval towards electoral activism, chaotic vegan protests and mass climate change action by school students, have all directed a spotlight on the principles of protest and the role of activist groups in organising resistance and raising awareness of controversial causes. This brand new topic examines protest movements, rights and protections, and explores how activism can influence public opinion and hold governments and business accountable. Is the current climate of protest growing hotter for social change? Is Australia witnessing a rising tide of activism which is shifting power to the people?",1266383,,303.48 ACT,60 pages : colour illustrations.,,,,,,9.78192E+12,,,,,"Thirroul, NSW",2020,2020,,edited by Justin Healey.,,Activism and protest,,,,,Monograph,text,,,,,"Healey, Justin",,Spinney Press,Issues in society; 451,"DissentDemonstrationsProtestsPassive resistanceAustralian historyAustralia - History",,,
"Summary: Tess, Joshua and Andre all think that the activities they do after school are the best. Tess plays tennis, Joshua attends art lessons and Andre is learning Italian. There are many different reasons why they enjoy their after-school activities. (Publisher)",1231806,,HR 21: CRO,24 pages : colour illustrations.,,,,,,9.78017E+12,,,,,"South Melbourne, Victoria, Australia",2015,2015,,Debbie Croft ; illustrations by Tamsin Ainslie.,,After-school activities are great,,,,,Monograph,text,,,,,"Croft, DebbieAinslie, Tamsin",,Cengage Learning Australia,"PM guided reading. Gold. Level 21; PM. Level 21; PM guided reading; PM library; ","Children - Recreation - FictionAmusements - FictionRecreationFictionLevelled readers",,,
"Summary: When Kieron Mellor finds a pair of sunglasses and a wireless earpiece in a shopping mall, he thinks he can sell them to make some quick cash. In fact they are a next-generation virtual-reality kit and a vital lifeline to Bex Wilson, secret agent on a desperate mission. Bex's friend and handler has been abducted by the bad guys, and Kieron is suddenly her last best hope for survival in a world that wants her - and now him - dead...",1231352,,MF LAN,266 pages.,,,,,,9.78185E+12,,,,,London,2018,2018,,Andrew Lane.,,Agent without licence #1,,,,,Monograph,text,,,,,"Lane, Andy",,Piccadilly Press,AWOL; 1,"Secret service - FictionKidnapping - FictionTechnology - FictionSurvival - FictionWeapons - FictionIntelligence organisationsKidnappingTechnologiesSurvivalWeaponsFiction",,,
,1266392,,HR 25: 530.092 EIN,"48 pages : illustrations (some colour), maps, portraits.",,,,,,9.78143E+12,,,,,"Washington, D.C.",2016,2016,,Libby Romero.,,Albert Einstein,,,,,Monograph,text,,,,,"Romero, Libby",,National Geographic,"National Geographic kids readers. Level 3, fluent reader; National Geographic kids readers; ","Einstein, AlbertPhysicists - BiographyRelativity (Physics)General relativityPhysicistsBiographies",,,
Summary: Alexandra is very nervous about starting at a new school. She wants to be chosen for the first eleven of the soccer team. But she is the only girl at the trials. Will Alex find her confidence in time to become a super soccer striker? (Back cover),1211357,,CLA PMG1 MIL,32 pages : colour illustrations.,,,,,,9.78017E+12,,,Text type: Narrative (Imaginative),,"South Melbourne, Victoria",2015,2015,,story by Peter Millett ; illustrations by Wayne Bryant.,,Alex the super soccer striker,,,,,Monograph,text,,,,,"Millett, PeterBryant, Wayne",,Nelson Cengage Learning,"PM Guided reading. Emerald. Level 25; PM. Level 25; PM guided reading; PM library; ","Soccer - FictionGirls - FictionSoccerGirlsFictionLevelled readers",,,
"Summary: How do graphs convey information using pictures instead of words? How do collect the information needed to make a graph, and which graph should you use? Let Arlo and his friends show you this and more in All about graphs. (Back cover)",1251962,,JNF 511 HEN,32 pages : colour illustrations.,,,,,,9.78174E+12,,,,,"Clifton Hill, Vic",2019,2019,,Lorna Hendry.,,All about graphs,,,,,Monograph,text,,,,,"Hendry, Lorna",,Wild Dog Books,Math mutts; 1,"GraphsGraphs (Data representation)",,,Graphs
"Summary: Sharks are a type of fish that live in oceans all around the world, except the Arctic and Antarctic. They have been on Earth for millions of years. Sharks are very important for keeping a healthy balance of life in our oceans. (Back cover)",1231795,,HR 23: 597.3 REI,24 pages : colour illustrations.,,,,,,9.78017E+12,,,Text types: Information report (informative) ; Exposition (persuasive),,"South Melbourne, Victoria",2015,2015,,Carmel Reilly.,,All about sharks,,,,,Monograph,text,,,,,"Reilly, Carmel",,Nelson Cengage Learning,"PM Guided reading. Silver. Level 23; PM. Level 23; PM guided reading; PM library; ","SharksLevelled readers",,,
"Summary: This is the story of Southeast Asia from the first footstep, more than 60,000 years ago, to the ASEAN conference of 2015. Divided into sections, the book will tell the story of one land, one era of history, but also how that past and place is linked to us all. Includes extensive notes and materials that will support the book.",1251963,,JNF 959 FRE,"48 pages : colour illustrations, maps.",,,,,,9.78146E+12,,,,,Sydney,2019,2019,,"Jackie French, Virginia Hooker ; illustrated by Mark Wilson.",,All of us,,,,,Monograph,text,,,,,"French, JackieHooker, Virginia MathesonWilson, Mark",,Angus & Robertson,,"World historyPicture booksSoutheast Asia - History",,,
"Summary: When Frankie McGee insists on borrowing yet another book about tractors, his mum crumbles. She begs him to read a book about something else - cars, planes, cranes, trains - anything! Frankie launches into all of the various, glorious factors that make up the love that he has for all tractors - but will he be able to bring his mum around?",1251966,,JF BEL,32 unnumbered pages : colour illustrations.,,,,,,9.78176E+12,,,,,"Richmond, Victoria",2019,2019,,Davina Bell ; illustrated by Jenny Løvlie.,,All the factors of why I love tractors,,,,,Monograph,text,,,,,"Bell, DavinaLøvlie, Jenny",,Hardie Grant Egmont,,"Boys - FictionTractors - FictionBooks and reading - FictionReadingBooksBoysTractorsFictionPicture books",,,
,1231448,,JF GOD,[32] p. : col. ill.,,,,,,9.78067E+12,,,,,"Camberwell, Vic.",2010,2010,,"Jane Godwin, Anna Walker.",,All through the year,,,,,Monograph,text,,,,,"Godwin, JaneWalker, Anna",,Penguin Australia,,"Seasons - FictionSeasonsFiction",,,
"Summary: Natalie and Alphonse mostly like living in a flat on the seventh floor. They love playing drive the double-decker bed and doing roly-polies in the hall. But when the two monster siblings invent a game of wriggly worms in the jungle ... oh dear! 'ow!' shflwump! That is not a good game for indoors! Will this pair ever manage to create a magical, wild camping experience in their little apartment? (Publisher)",1211172,,JF HIR,33 unnumbered pages : colour illustrations.,,,,,,9.78141E+12,,,,,London,2019,2019,,Daisy Hirst.,,"Alphonse, there's mud on the ceiling!",,,,,Monograph,text,,,,,"Hirst, Daisy",,Walker Books,,"Brothers and sisters - FictionGames - FictionImagination - FictionSiblingsGamesImaginationFictionPicture books",,,
"Summary: The circus is coming to town, and Nelson and his friends have a chance to be part of the show! Nelson's amazing ninja skills will be perfect! But what will ninja Nelson do when big trouble arrives at the big top! (Publisher)",1231706,,PF DO,186 pages : illustrations.,,,,,,9.78176E+12,,,,,"Gosford, NSW",2019,2019,,Anh Do ; illustrated by Jeremy Ley.,,Amazing ninja! #4,,,,,Monograph,text,,,,,"Do, AnhLey, Jeremy",,Scholastic Press,Ninja kid; 4,"Ninjutsu - FictionCircuses - FictionMartial artsCircusFiction",,,
"Summary: Amazo arrives on Earth with a plan to solve all its problems by wiping out its entire population! All that stands in his way is Superman, Green Lantern, Plastic Man, and the rest of the Justice League. Can the world's greatest team of super heroes shut down the superpower duplicating android before it's too late? Or will Amazo flip the switch on a total planetary reboot? (From Amazon)",1231378,,PF JUS SNI,80 pages : colour illustrations.,,,,,,9.7815E+12,,,,,"North Mankato, Minnesota",2017,2017,,by Brandon T. Snider : illustrated by Tim Levins.,,Amazo and the planetary reboot,,,,,Monograph,text,,,,,"Snider, Brandon TLevins, Tim",,Stone Arch Books,Justice League; ,"Good and evil - FictionSuperheroes - FictionVillains - FictionGood and evilHeroesVillains",,,
"Summary: Will and Lyra, whose fates are bound together by powers beyond their own worlds, have been violently separated. But they must find each other, for ahead of them lies the greatest war that has ever been - and a journey to a dark place from which no one has ever returned.",1265587,,MF PUL,544 pages.,,,,,,9.78174E+12,,,First published 2000. Winner of the 2001 Whitbread Children&#39;s Book Award and Book of the Year award.,,London,2019,2019,,Philip Pullman.,,The amber spyglass,,,,,Monograph,text,,,,,"Pullman, Philip",,Scholastic,His dark materials; 3,"Whitbread AwardWhitbread Children's Book AwardVoyages and travels - FictionFree will and determinism - FictionGood and evil - FictionFree willGood and evilQuestsLiterary awardsFiction",,,
,1266386,,HR 27: 932 DRI,48 pages : illustrations (chiefly colour),,,Second edition.,,,9.78001E+12,,,Published in association with National Geographic Partners; adapted by Collins for readers of British English.,,London,2018,2018,,Stephanie Warren Drimmer.,,Ancient Egypt,,,,,Monograph,text,,,,,"Drimmer, Stephanie Warren",,Collins,"National Geographic kids readers. Level 4. Independent reader; National Geographic kids readers; ","Levelled readersEgyptian historyAncient historyRegional cultureEgypt - History - To 332 B.CEgypt - Social life and customs - To 332 B.C",,,
,1211338,,CLA PMSP 573.8 HAM,16 p. : col. ill.,,,,,,017012407X,,,Thomson Nelson.,,South Melbourne,2006,2006,,Heather Hammonds.,,Animal senses,,,,,Monograph,text,,,,,"Hammonds, Heather",,Thomson Learning,"PM science facts; Exploring my sensesPM writing : PM levelled exemplar text; 11/12","AnimalsSenses and sensation",,,
,1266409,,HR 1: SMI,16 p. : col. ill.,,,,,,170106896,,,&quot;Exploring: symmetry. Strand: shape and space&quot;-Back cover.,,"Southbank, Vic.",2003,2003,,"[text, Annette Smith ; edited by Katrina Wilson ; photography by Lindsay Edwards].",,Animal symmetry,,,,,Monograph,text,,,,,"Smith, AnnetteWilson, KatrinaEdwards, Lindsay",,Thomson Learning,PM maths;  bk. 11,"Insects - FictionSymmetry - FictionSize and shape - Fiction",,,
Summary: Short stories and adventures of children and animals.,1231866,,TR MUR,27 pages : colour illustrations.,,,,,,9.78193E+12,,,"&quot;Book 3 of 4, introducing the first 10 vowel sounds often represented in writing by the letters: a, e, i, o, u, ai, ee, i e, oa, ar&quot;.",,"Glebe, NSW",2018,2018,,written by Barbara Murray ; illustrated by Sarah Hardy.,,Anna Ant's antics and other stories,,,,,Monograph,text,,,,,"Murray, BarbaraHardy, Sarah",,Little Steps Publishing,Sound stories; 3,"Insects - FictionChildren - FictionPhoneticsEnglish language - PronunciationConsonantsEnglish languageInsectsChildrenFiction",,,
,1231499,,HR 19: KIR,16 pages : colour illustrations.,,,,,,,,,ISBN duplicated on all volumes in series. Guided reading: K ; Reading level: 19 ; DRA level: 20. Word count: 400. Based on the fable by Aesop.,,"Huntington Beach, CA",[2018],2018,,retold by Anna Kirschberg ; illustrated by Anna Evans.,,The ant and the grasshopper,,,,,Monograph,text,,,,,"Kirschberg, AnnaEvans, AnnaAesop",,"Junior Learning, Inc","Fantails book banded readers. Fluency level 3, Fiction; 2Fantails book banded readers; 2","Friendship - FictionResponsibility - FictionPlanning - FictionFables, Greek - FictionLevelled readersFriendshipPlanningFablesGreek literatureFiction",,,
,1252025,,HR 12: 595.79 STE,32 p. : col. ill.,,,,,,9.78143E+12,,,,,Washington,2010,2010,,Melissa Stewart.,,Ants,,,,,Monograph,text,,,,,"Stewart, Melissa",,National Geographic,"National Geographic readers. Level 1; National Geographic kids readers; ",Ants,,,
"Summary: Embrace what you find in the shadows, for only they can clear the sky. For many moons, the warrior cats have lived in peace in their territories around the lake. But a dark shadow looms on the horizon, and the time has come for one young cat to shape his destiny - and the fate of all the warrior Clans. Alderpaw, the son of the ThunderClan leader, Bramblestar, is eager to find his place in Clan life. When he begins having strange dreams - visions that can only have been sent by the warrior ancestors in StarClan - Bramblestar names him apprentice to the Clan's medicine cat. But the omens in Alderpaw's dreams will soon send him away from everything he has ever known on a quest to ensure the Clan's survival. (Book flap)",1231343,,PF HUN,"296, 13 pages : illustrations.",,,First paperback edition.,,,9.78006E+12,,,,,"New York, NY",2017,2017,,Erin Hunter.,,The apprentice's quest #1,,,,,Monograph,text,,,,,"Hunter, Erin",,Harper,"Warriors. A vision of shadows; 1Warriors; 1","Cats - FictionProphecies - FictionCatsProphecyFiction",,,
"Summary: Our best-selling AQA GCSE Spanish course has been updated for the 2016 specification. This course offers brand new content, helping to develop the productive skills students need to manipulate language confidently and to prepare thoroughly for their exam. Its differentiated approach supports your mixed-ability classes, facilitating co-teaching.",1252002,,TR 468.2 HAL,208 pages : colour illustrations.,,,,,,9.7802E+12,,,Cover title: GCSE AQA Spanish foundation. English and Spanish text.,,Oxford,2016,2016,,"John Halksworth, Viv Halksworth, Richard Martin.",,"AQA GCSE Spanish. Foundation,QCE Student book ",,,,,Monograph,text,,,,,"Halksworth, JohnHalksworth, VivMartin, Richard",,Oxford University Press,,"Spanish language - Problems, exercises, etcSpanish languageProblem sets",,,"GCSE AQA Spanish. FoundationAQA Spanish. Foundation"
,1251998,,TR 468.2 HAL,205 pages : colour illustrations.,,,,,,9.7802E+12,,,"Cover title: GCSE AQA Spanish foundation. Our bestselling AQA GCSE Spanish course has been updated for the 2016 specification. This course offers brand new content, helping to develop the productive skills students need to manipulate language confidently and to prepare thoroughly for their exam. Its differentiated approach supports your mixed-ability classes, facilitating co-teaching. (Publisher) Text in English and Spanish.",,Oxford,2016,2016,,"John Halksworth, Viv Halksworth, Richard Martin.",,"AQA GCSE Spanish. Higher, [QCE Student book]",,,,,Monograph,text,,,,,"Halksworth, JohnHalksworth, VivMartin, Richard",,Oxford University Press,AQA GCSE; ,"Spanish language - Problems, exercises, etcSpanish languageProblem sets",,,"GCSE AQA SpanishAQA Spanish"
Summary: An entertaining picture book about two party-going aliens that also explores the anatomy of the human hand.,1231399,,JNF 611 BEN,32 pages : colour illustrations.,,,,,,9.78176E+12,,,Teaching resources available on publisher&#39;s website.,,"Crows Nest, NSW",2019,2019,,Idan Ben-Barak and Julian Frost.,,Argh! There's a skeleton inside you!,,,,,Monograph,text,,,,"https://www.scool.scholastic.com.au/standingorders/Jadehttp.dll?StandingOrders=&_session=969d8f3a33546c4c&H05=5&prdCode=8619300https://moretonbaycollege.sharepoint.com/sites/MBBC/wholecollege/library/Shared%20Documents/LIBRARY%20CURRICULUM/Teacher%20Notes_PF/Argh_Theres_a_Skeleton_Inside_You_9781760631635_TT.pdf?csf=1&e=sMnSy8&cid=9073a6dc-f280-405d-9215-1084045d2850","Ben-Barak, IdanFrost, Julian",,Allen & Unwin,,"Human anatomySkeletonHandsAnimal structure and functionPicture books",,,There's a skeleton inside you!
"Summary: Jarli has lost a day. His missing memories may reveal the identity of Viper -- who just announced a plan to destroy the town of Kelton. Meanwhile, Doug is trapped in Viper's hidden prison. He's been given up for dead by his family and friends -- but he has a daring plan to escape. Jarli and his friends are close to unmasking Viper, but the master criminal has spies everywhere. Can Jarli tell his friends from his enemies in time to thwart Viper's final, terrible scheme? (Publisher)",1231701,,PF HEA,228 pages : illustrations.,,,,,,9.78174E+12,,,,,"Gosford, NSW",2019,2019,,Jack Heath.,,Armageddon,,,,,Monograph,text,,,,,"Heath, Jack",,Scholastic Australia,Liars; 5,"Adolescents - FictionMemory - FictionPrisoners - FictionKidnapping - FictionAdolescentsMemory (Cognition)PrisonersKidnappingFiction",,,
,1252011,,HR 10: 567.9 JOH,"23 pages : colour illustrations, maps.",,,,,,9.78193E+12,,,Text level: Early childhood.,,"Glebe, NSW",2017,2017,,Rebecca Johnson ; illustrated by Paul Lennon.,,Armour-covered dinosaurs : ankylosaurs,,,,,Monograph,text,,,,,"Johnson, RebeccaLennon, Paul",,Pascal Press,"Steve Parish kids. First facts; Steve Parish kids; ",Dinosaurs,,,
"Summary: Tiny 14-year-old Arrietty lives under the floorboards of a sprawling mansion set in a magical, overgrown garden with her father and mother. Arrietty and her family live by borrowing. Everything they have, they borrow or make from the things they have borrowed from the old lady who lives in the mansion. Their peaceful life is dramatically changed when the ever-curious Arrietty accidentally allows herself to be seen by Sho, a lonely 12-year-old human boy. The two begin to confide in each other and, before long, a friendship begins to blossom. (From container)",1266402,,TR AV: ARR,"1 DVD (94 min.) : sd., col.",,,,,,,,,"Inspired by beloved children&#39;s novel &quot;The borrowers&quot; by Mary Norton. Includes special features: Alternative angle storyboards, original Japanese theatrical trailers. Planning and screenplay by Hayao Miyazaki. PAL; Region 4. In Japanese and English, with English subtitles.",,Japan,2010,2010,,produced by Toshio Suzuki ; directed by Hiromasa Yonebayashi.,,Arrietty,,,,,Video,dvd,,,,,"Suzuki, ToshioYonebayashi, HiromasaMiyazaki, HayaoNorton, Mary",,Studio Ghibli,Studio Ghibli collection; ,"Friendship - FictionFriendshipFictionManga",,,Secret world of Arrietty
"Summary: Artificial intelligence (AI) has been quietly evolving from futuristic sci-fi movie plots and into the factual present day. Put simply, AI is a computer system that can do tasks that humans need intelligence to do. AI is already transforming the way we live, work, communicate and travel. From the development of driverless cars, to the machine learning and algorithms that power our mobile phones, voice-activated assistants and the internet of things, we are already co-existing and engaging with AI-enabled technology. However, along with the potential to improve our quality of life, AI risks compromising basic human rights and freedoms. We all need to better understand how AI is being developed, used and regulated as it becomes more embedded and empowered in the world around us. What is artificial intelligence, how does it work, and what are the benefits and ethical concerns? The robot revolution is happening right now - how much do you really know about the impacts of AI on your everyday life?",1266384,,006.3 ART,60 pages : colour illustrations.,,,,,,9.78192E+12,,,,,"Thirroul, NSW",2020,2020,,edited by Justin Healey.,,Artificial intelligence,,,,,Monograph,text,,,,,"Healey, Justin",,Spinney Press,Issues in society; 450,"Artificial intelligenceRobots",,,
"Summary: Fifteen-year-old Peak Marcello is invited to climb Hkakabo Razi, one of the most isolated mountains in the world, but getting there involves a four-week trek through a tropical rainforest that is rife with hazards, which turns out to be more dangerous than summiting the mountain itself.",1231666,,MF SMI,228 pages.,,,,,,9.78054E+12,,,,,Boston,2018,2018,,Roland Smith.,,Ascent #3,,,,,Monograph,text,,,,,"Smith, Roland",,HMH Books for Young Readers,"A Peak Marcello adventure; 3Peak Marcello adventure; 3","Mountaineering - FictionSurvival - FictionRainforests - FictionMountaineeringSurvivalRainforestsFictionHkakabo Razi (Myanmar) - FictionMyanmar - Fiction",,,
